Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
2466-97-1358-0-000-0000,"166 rue de la Petite-Ourse","Ville de Rimouski ",34600,0,34600,5890879
2466-97-2747-0-000-0000,"168 rue de la Petite-Ourse","Ville de Rimouski ",39400,0,39400,5890880
2466-97-3702-0-000-0000,"701 rue de la Grande-Ourse","Ville de Rimouski ",34800,0,34800,5890837
2466-97-4809-0-000-0000,"699 rue de la Grande-Ourse","Ville de Rimouski ",34800,0,34800,5890838
2466-97-8130-0-000-0000,"693 rue de la Grande-Ourse","Ville de Rimouski ",34800,0,34800,5890841
2466-97-9637-0-000-0000,"691 rue de la Grande-Ourse","Ville de Rimouski ",41100,0,41100,5890842
2466-98-0412-0-000-0000,"159 rue de la Grande-Ourse","Ville de Rimouski ",33400,0,33400,5890848
2466-98-1303-0-000-0000,"161 rue de la Grande-Ourse","Ville de Rimouski ",34000,0,34000,5890847
2467-41-8510-0-000-0000,"rue de la Grande-Ourse","Ville de Rimouski ",242200,0,242200,"2897195, 5890901, 5890902, 5890903, 5890904, 5890905, 5890906"
2467-80-3755-0-000-0000,"rue des Fleurs","Ville de Rimouski ",10400,0,10400,"2896969, 2897128"
2467-90-4867-0-000-0000,"rue des Fleurs","Ville de Rimouski ",76200,0,76200,5887450
2563-04-6508-0-000-0000,"chemin de Lausanne","Ville de Rimouski ",1800,0,1800,"3258514, 2896465"
2566-11-4428-0-000-0000,"rue du Versant","Ville de Rimouski ",165300,0,165300,2897368
2566-43-1568-0-000-0000,"rue des Commandeurs","Ville de Rimouski ",163200,0,163200,2897175
2566-66-7635-0-000-0000,"rue des Conifères","Ville de Rimouski ",61100,0,61100,2896865
2567-00-4396-0-000-0000,"rue des Fleurs","Ville de Rimouski ",62500,0,62500,2897025
2567-00-9558-0-000-0000,"rue des Fleurs","Ville de Rimouski ",29400,0,29400,2897030
2567-44-7242-0-000-0000,"Bord du fleuve, Sacré-Coeur","Ville de Rimouski ",19700,0,19700,"3510316, 2896726, 3510317, 3510315, 2895185"
2567-51-9732-0-000-0000,"place d' Armes","Ville de Rimouski ",128400,0,128400,2896733
2567-52-1927-0-000-0000,"rue de Dieppe","Ville de Rimouski ",24500,309500,334000,2896744
2567-62-2777-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",2700,0,2700,2896682
2570-78-3516-0-000-0000,"ile Saint-Barnabé","Ville de Rimouski ",206700,25700,232400,2894572
2663-05-7447-0-000-0000,"835 chemin Victor-Gauvin","Ville de Rimouski ",195000,2770200,2965200,"2896503, 2896488, 2896481, 2896495, 2896482, 3510329, 3812641"
2663-65-8528-0-000-0000,"2e Rang, Sacré-Coeur","Ville de Rimouski ",15800,0,15800,2896504
2663-84-4840-0-000-0000,"2e Rang, Sacré-Coeur","Ville de Rimouski ",2900,0,2900,2896510
2664-61-8494-0-000-0000,"2e Rang, Sacré-Coeur","Ville de Rimouski ",4900,0,4900,2896511
